Name,Address,City,State,Zipcode,Neighborhood,Lat,Long
Chicos Pizza,468 ELLIS ST,SAN FRANCISCO,CA,94102,Tenderloin,37.784744,-122.413803
Chicos Pizza,131 6TH ST,SAN FRANCISCO,CA,94103,South of Market,37.780636,-122.408305
New Venice Pizza And Resturant,1000 BUSH ST,SAN FRANCISCO,CA,94109, ,37.789535,-122.413749
Panhandle Pizza,2077 HAYES ST,SAN FRANCISCO,CA,94117,Lone Mountain/USF,37.77336,-122.450677
Village Pizzeria Van Ness,1243 VAN NESS AVE,SAN FRANCISCO,CA,94109,Western Addition,37.787387,-122.421809
"North Beach Pizza,too!-On",4787 MISSION ST,SAN FRANCISCO,CA,94112,Excelsior,37.721869,-122.436936
Mustafio's Pizza,1116 POLK ST,SAN FRANCISCO,CA,94109, ,37.787341,-122.420035
Grinders Pizzeria,448 BALBOA ST,SAN FRANCISCO,CA,94118, ,37.777251,-122.463471
La Mama Pizza & Kitchen,1534 CALIFORNIA ST,SAN FRANCISCO,CA,94109,Nob Hill,37.790677,-122.419902
Ali's Pizzeria,407 ELLIS ST,SAN FRANCISCO,CA,94102,Tenderloin,37.784859,-122.412893
Team San Francisco Pizza Llc,320 BAY SHORE BLVD,SAN FRANCISCO,CA,94124,Bernal Heights,37.742672,-122.405618
Barile Pizzenria,2136 UNION ST,SAN FRANCISCO,CA,94123,Marina,37.797215,-122.434528
Baiano Pizzeria,1330 9TH AVE,SAN FRANCISCO,CA,94122, ,37.7634,-122.466267
Golden Boy Wholesale Pizza,4531 MISSION ST,SAN FRANCISCO,CA,94112, ,37.725187,-122.43443
Pizza Perfect Nails,1193 VALENCIA ST,SAN FRANCISCO,CA,94110,Mission,37.753823,-122.420828
Maysoon's Pizza,829 GEARY ST,SAN FRANCISCO,CA,94109, ,37.786243,-122.417022
Indian Food And Pizza,1793 HAIGHT ST,SAN FRANCISCO,CA,94117, ,37.769396,-122.451584
Ali's Pizzeria,407 ELLIS ST,SAN FRANCISCO,CA,94102,Tenderloin,37.784859,-122.412893
Gochees Pizza,2 EMBARCADERO CTR,SAN FRANCISCO,CA,94111, ,37.794812,-122.398499
Pizza Pino & Kitchen,1534 CALIFORNIA ST,SAN FRANCISCO,CA,94133, ,37.790677,-122.419902
Passione Pizza,2 MARINA BLVD,SAN FRANCISCO,CA,94115, ,37.805209,-122.432189
Passione Pizza,1 AVENUE,SAN FRANCISCO,CA,94130,Treasure Island,37.818747,-122.369056
Pronto Pizza,798 EDDY ST,SAN FRANCISCO,CA,94109, ,37.782935,-122.420475
New York Pizza Kitchen,127 EDDY ST,SAN FRANCISCO,CA,94102, ,37.784302,-122.409745
Chick And Love Pizza Patio,1701 FOLSOM ST,SAN FRANCISCO,CA,95103,Mission,37.769429,-122.415607
Dba: Mama Mia Pizza,3839 MISSION ST,SAN FRANCISCO,CA,94100, ,37.735519,-122.424651
Montella Pizzeria,3161 24TH ST,SAN FRANCISCO,CA,94110, ,37.752431,-122.415313
Pasquales Pizzeria #2,2640 SLOAT BLVD,SAN FRANCISCO,CA,94116,Sunset/Parkside,37.735571,-122.502708
Pasquales Pizzeria,700 IRVING ST,SAN FRANCISCO,CA,94122,Inner Sunset,37.764077,-122.465511
Little Joes Pizza,5006 MISSION ST,SAN FRANCISCO,CA,94112,Outer Mission,37.718323,-122.43962
Goat Hill Pizza,171 STILLMAN ST,SAN FRANCISCO,CA,94107,South of Market,37.780535,-122.39793
Goat Hill Pizza,170 WEST PORTAL AVE,SAN FRANCISCO,CA,94127,West of Twin Peaks,37.7391,-122.467804
Giorgios Pizzeria,151 CLEMENT ST,SAN FRANCISCO,CA,94118,Inner Richmond,37.783123,-122.46103
Fisherman Pizzeria,2800 LEAVENWORTH ST,SAN FRANCISCO,CA,94133,North Beach,37.807088,-122.418926
Gaspare's Pizza House & Rest,5546 GEARY BLVD,SAN FRANCISCO,CA,94121,Outer Richmond,37.780418,-122.479122
Calzones Pizza Cucina,430 COLUMBUS AVE,SAN FRANCISCO,CA,94133,North Beach,37.798945,-122.408197
Luisa Pizza And Pasta,1550 CALIFORNIA ST,SAN FRANCISCO,CA,94116, ,37.790656,-122.420075
Escape From New York Pizza Ii,1737 HAIGHT ST,SAN FRANCISCO,CA,94117,Haight Ashbury,37.769423,-122.451375
My Pizza,491 OFARRELL ST,SAN FRANCISCO,CA,94102, ,37.785817,-122.412857
Bus Stop Pizza 1,256 DIVISADERO ST,SAN FRANCISCO,CA,94117,Haight Ashbury,37.771507,-122.437057
North Beach Pizza Too!,1462 GRANT AVE,SAN FRANCISCO,CA,94133,North Beach,37.800532,-122.407572
Arinell Pizza,509 VALENCIA ST,SAN FRANCISCO,CA,94110,Mission,37.764649,-122.421858
Bravo Pizza,5145 MISSION ST,SAN FRANCISCO,CA,94112, ,37.716598,-122.440923
California Pizza Kitchen,53 3RD ST,SAN FRANCISCO,CA,94103,Financial District/South Beach,37.786827,-122.402724
Victors Pizza,1411 POLK ST,SAN FRANCISCO,CA,94109,Nob Hill,37.789975,-122.42057
New York Pizza,670 LARKIN ST,SAN FRANCISCO,CA,94109,Tenderloin,37.784061,-122.417695
Paulines Pizza,260 VALENCIA ST,SAN FRANCISCO,CA,94103,Mission,37.768683,-122.422261
Pizza Hut,3349 MISSION ST,SAN FRANCISCO,CA,94110,Bernal Heights,37.743319,-122.421349
Pizza Hut,728 GEARY ST,SAN FRANCISCO,CA,94109,Tenderloin,37.786459,-122.415319
Vince's Pizza House & Catering,2018 24TH AVE,SAN FRANCISCO,CA,94116,Sunset/Parkside,37.749834,-122.481587
Pizzeria Delfina,3611 18TH STREET,SAN FRANCISCO,CA,94110,Mission,37.761549,-122.424077
North Beach Pizza,800 STANYAN ST,SAN FRANCISCO,CA,94117,Haight Ashbury,37.767173,-122.453145
Round Table Pizza,2660 SAN BRUNO AVE,SAN FRANCISCO,CA,94134,Portola,37.728071,-122.403786
Pirro's Pizzeria,2244 TARAVAL ST,SAN FRANCISCO,CA,94116,Sunset/Parkside,37.742404,-122.490422
Golden Boy Pizza,542 GREEN ST,SAN FRANCISCO,CA,94133,North Beach,37.799631,-122.408062
Dna Pizza,371 11TH ST,SAN FRANCISCO,CA,94103,South of Market,37.770935,-122.41287
Uncle Vito's Pizza Llc,700 BUSH ST,SAN FRANCISCO,CA,94108,Nob Hill,37.790157,-122.408854
Pizza Prada,239 POWELL ST,SAN FRANCISCO,CA,94102,Tenderloin,37.786799,-122.408128
Pizza Foods Inc,801 VAN NESS AVENUE,SAN FRANCISCO,CA,94109,Western Addition,37.78305,-122.420939
Round Table Pizza,801 VAN NESS AVE,SAN FRANCISCO,CA,94109,Western Addition,37.78305,-122.420939
Round Table Pizza,737 PORTALA DR,SAN FRANCISCO,CA,94127,West of Twin Peaks,37.744251,-122.453768
Deja Vu Pizza & Pasta,3227 16TH ST,SAN FRANCISCO,CA,94103,Mission,37.764733,-122.42472
Serrano's Pizza Inc,3274 21ST ST,SAN FRANCISCO,CA,94110,Mission,37.756945,-122.420537
Pizzeria,659 VALENCIA ST,SAN FRANCISCO,CA,94110,Mission,37.762322,-122.421639
Round Table Pizza,3567 GEARY BLVD,SAN FRANCISCO,CA,94118,Lone Mountain/USF,37.781275,-122.457365
Haystack Pizza Restaurant,3881 24TH ST,SAN FRANCISCO,CA,94114,Noe Valley,37.751595,-122.429202
Extreme Pizza,3911 ALEMANY BLVD,SAN FRANCISCO,CA,94132,Oceanview/Merced/Ingleside,37.711479,-122.466928
The Village Market & Pizza,750 FONT BLVD,SAN FRANCISCO,CA,94132,Lakeshore,37.722337,-122.482919
Little Star Pizza,846 DIVISADERO ST,SAN FRANCISCO,CA,94117,Western Addition,37.777494,-122.438263
Venice Pizza And Restaurant,5228 MISSION ST,SAN FRANCISCO,CA,94112,Outer Mission,37.715269,-122.441941
Patxis Chicago Pizza,3318 FILLMORE ST,SAN FRANCISCO,CA,94123,Marina,37.800155,-122.436118
Patxis Chicago Pizza,511 HAYES ST,SAN FRANCISCO,CA,94102,Hayes Valley,37.776622,-122.42501
Patxis Chicago Pizza,822 IRVING ST,SAN FRANCISCO,CA,94122,Inner Sunset,37.764018,-122.466796
Patxis Pizza,4042 24TH ST,SAN FRANCISCO,CA,94114,Noe Valley,37.751373,-122.432857
Bush Street Pizza Inc,333 BUSH STREET,SAN FRANCISCO,CA,94104,Financial District/South Beach,37.790878,-122.403151
Escape From New York Pizza,333 BUSH ST,SAN FRANCISCO,CA,94107,Financial District/South Beach,37.790878,-122.403151
Little Star Pizza Valencia,400 VALENCIA ST,SAN FRANCISCO,CA,94103,Mission,37.766407,-122.422033
Escape From New York Pizza,2109 POLK ST,SAN FRANCISCO,CA,94109,Russian Hill,37.796262,-122.421854
The Pizza Place On Noriega,3901 NORIEGA ST,SAN FRANCISCO,CA,94122,Sunset/Parkside,37.752958,-122.505595
Pizza Orgasmica,3157 FILLMORE ST,SAN FRANCISCO,CA,94123, ,37.79878,-122.435844
Pizza Orgasmica & Brewing Co,3145 FILLMORE ST,SAN FRANCISCO,CA,94123, ,37.79865,-122.435818
Pizzelle Di North Beach,314 COLUMBUS AVE,SAN FRANCISCO,CA,94133,North Beach,37.798072,-122.406906
Zozan Slice Pizza,1535 HAIGHT ST,SAN FRANCISCO,CA,94117, ,37.769915,-122.447577
Big Slice Pizza,1535 HAIGHT ST,SAN FRANCISCO,CA,94117, ,37.769915,-122.447577
Pizza Zone N Grill,178 VALENCIA ST,SAN FRANCISCO,CA,94103,Mission,37.770236,-122.422409
Fahim Shafik Pizza Zone Inc,555 BEACH ST,SAN FRANCISCO,CA,94133, ,37.806974,-122.418094
Pizza Zone,555 BEACH ST,SAN FRANCISCO,CA,94133, ,37.806974,-122.418094
Pomodoro Pizza,240 KEARNY ST,SAN FRANCISCO,CA,94108,Financial District/South Beach,37.790368,-122.403963
Little Caesars Pizza,955 GENEVA AVE,SAN FRANCISCO,CA,94112,Excelsior,37.715962,-122.440028
Pizzeria Due,2406 CALIFORNIA ST,SAN FRANCISCO,CA,94115,Pacific Heights,37.788849,-122.434301
Milan Pizza,606 GEARY ST,SAN FRANCISCO,CA,94102,Tenderloin,37.786696,-122.413403
Pizzetta 211,211 23RD AVE,SAN FRANCISCO,CA,94121,Outer Richmond,37.783735,-122.482859
Naples Pizzarella,1192 GENEVA AVE,SAN FRANCISCO,CA,94112,Excelsior,37.714316,-122.436546
Tony's Pizza Napoletana,1570 STOCKTON ST,SAN FRANCISCO,CA,94133,North Beach,37.800302,-122.409155
International School Of Pizza,1556 STOCKTON ST,SAN FRANCISCO,CA,94133, ,37.800197,-122.409136
Panhandle Pizza,2077 HAYES ST,SAN FRANCISCO,CA,94117,Lone Mountain/USF,37.77336,-122.450677
Escape From New York Pizza,3242 22ND ST,SAN FRANCISCO,CA,94110,Mission,37.755385,-122.419695
Zantes Pizza Inc,3489 MISSION ST,SAN FRANCISCO,CA,94110,Bernal Heights,37.741213,-122.42271
Luigi's Pizzeria,39 PIER,SAN FRANCISCO,CA,94133, ,37.795541,-122.394141
Papa John's Pizza,69 CAMBON DR,SAN FRANCISCO,CA,94132, ,37.718086,-122.474518
Papa John's Pizza,969 SUTTER ST,SAN FRANCISCO,CA,94109,Nob Hill,37.788257,-122.416243
Brothers Pizza,3627 TARAVAL ST,SAN FRANCISCO,CA,94116,Sunset/Parkside,37.741756,-122.505151
Donairos Pizza,6905 GEARY BLVD,SAN FRANCISCO,CA,94121,Outer Richmond,37.779636,-122.49366
Escape From New York Pizza,715 HARRISON ST,SAN FRANCISCO,CA,94107,South of Market,37.782258,-122.397789
Una Pizza Napoletana Llc,1501 HOWARD ST,SAN FRANCISCO,CA,94103,Mission,37.772952,-122.415761
Golden Gate Pizza&indian Resta,4038 JUDAH ST,SAN FRANCISCO,CA,94122,Sunset/Parkside,37.76046,-122.505263
Casey's Pizza Llc,1528 BAKER ST,SAN FRANCISCO,CA,94115,Pacific Heights,37.78509,-122.443234
Nizario's Pizza #2,4077 18TH ST,SAN FRANCISCO,CA,94114,Castro/Upper Market,37.760922,-122.434463
Nizario's Pizza,3840 GEARY,SAN FRANCISCO,CA,94118, ,37.781248,-122.460682
Roma Pizzeria,5099 MISSION ST,SAN FRANCISCO,CA,94112,Excelsior,37.717208,-122.440462
Mr Pizza Man,2680 22ND ST,SAN FRANCISCO,CA,94110, ,37.756077,-122.408381
Pizzaria,448 BROADWAY ST,SAN FRANCISCO,CA,94133,North Beach,37.798108,-122.404753
All Good Pizza,1408 HUDSON AVE,SAN FRANCISCO,CA,94124,Bayview Hunters Point,37.738044,-122.384703
Nizarios Pizza Valencia,535 VALENCIA ST,SAN FRANCISCO,CA,94110, ,37.764283,-122.421823
Marina Pizza & Pasta,2139 LOMBARD ST,SAN FRANCISCO,CA,94123,Marina,37.799713,-122.436713
Carmel Pizza Company,2826 JONES ST,SAN FRANCISCO,CA,94133, ,37.80716,-122.417272
New Venice Pizza & Restaurant,1000 BUSH ST,SAN FRANCISCO,CA,94109,Nob Hill,37.789535,-122.413749
Cybelle's Pizza,1000 BUSH ST,SAN FRANCISCO,CA,94109,Nob Hill,37.789535,-122.413749
Fresco Pizza & Grill,1338 POLK ST,SAN FRANCISCO,CA,94109,Nob Hill,37.789252,-122.420426
The Supremo Pizza Llc,87 6TH ST,SAN FRANCISCO,CA,94123, ,37.781083,-122.408866
The Pizza Shop,3104 24TH ST,SAN FRANCISCO,CA,94110,Mission,37.752499,-122.414175
Kezar Pizzetta,775 FREDERICK ST,SAN FRANCISCO,CA,94117,Inner Sunset,37.765796,-122.45727
Pronto Pizza,798 EDDY ST,SAN FRANCISCO,CA,94109, ,37.782935,-122.420475
Nizarios Pizza Sfsu,1650 HOLLOWAY AVE,SAN FRANCISCO,CA,94132,Lakeshore,37.72091,-122.478945
Pizza Express,813 CORTLAND AVE,SAN FRANCISCO,CA,94110,Bernal Heights,37.738904,-122.414371
All Nite Pizza & Foods,5155 3RD ST,SAN FRANCISCO,CA,94124, ,37.731353,-122.391824
Firetrail Pizza,428 11TH ST,SAN FRANCISCO,CA,94103,Mission,37.770022,-122.411736
Pizza Joint 3,1125 OCEAN AVE,SAN FRANCISCO,CA,94112, ,37.723562,-122.454662
